📢重要公告📢,#genre#
CCTV-16奥匹,http://tv.kmhlzxs.top:35455/gaoma/cctv16.m3u8
CCTV-17农村,http://tv.kmhlzxs.top:35455/gaoma/cctv17.m3u8
CCTV4k超高清,http://tv.kmhlzxs.top:35455/gaoma/cctv4k.m3u8
CCTV8k超高清,http://tv.kmhlzxs.top:35455/gaoma/cctv8k_36m.m3u8
CCTV-1综合,http://tv.kmhlzxs.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2财经,http://tv.kmhlzxs.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3综艺,http://tv.kmhlzxs.top:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4国际,http://tv.kmhlzxs.top:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5体育,http://tv.kmhlzxs.top:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+赛事,http://tv.kmhlzxs.top:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6电影,http://tv.kmhlzxs.top:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7军事,http://tv.kmhlzxs.top:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8电视,http://tv.kmhlzxs.top:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9纪录,http://tv.kmhlzxs.top:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10科教,http://tv.kmhlzxs.top:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11戏曲,http://tv.kmhlzxs.top:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12社法,http://tv.kmhlzxs.top:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14少儿,http://tv.kmhlzxs.top:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15音乐,http://tv.kmhlzxs.top:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16奥匹,http://tv.kmhlzxs.top:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17农村,http://tv.kmhlzxs.top:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
北京卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
上海卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
福建卫视,http://tv.kmhlzxs.top:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视,http://tv.kmhlzxs.top:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江视,http://tv.kmhlzxs.top:35455/itv/1000000001000001925.m3u8?cdn=ystenlive

CCTV-1综合4K,http://223.105.252.60/PLTV/4/224/3221228581/1736296112-1-1708019737.hls.ts?servicetype=1
CCTV-1综合,http://liushizupu.site:35455/gaoma/cctv1.m3u8
CCTV-2财经,http://liushizupu.site:35455/gaoma/cctv2.m3u8
CCTV-3综艺,http://liushizupu.site:35455/gaoma/cctv3.m3u8
CCTV-4国际,http://liushizupu.site:35455/gaoma/cctv4.m3u8
CCTV-5体育,http://liushizupu.site:35455/gaoma/cctv5.m3u8
CCTV-5+赛事,http://liushizupu.site:35455/gaoma/cctv5p.m3u8
CCTV-6电影,http://liushizupu.site:35455/gaoma/cctv6.m3u8
CCTV-7军事,http://liushizupu.site:35455/gaoma/cctv7.m3u8
CCTV-8电视,http://liushizupu.site:35455/gaoma/cctv8.m3u8
CCTV-9纪录,http://liushizupu.site:35455/gaoma/cctv9.m3u8
CCTV-10科教,http://liushizupu.site:35455/gaoma/cctv10.m3u8
CCTV-11戏曲,http://liushizupu.site:35455/gaoma/cctv11.m3u8
CCTV-12社法,http://liushizupu.site:35455/gaoma/cctv12.m3u8
CCTV-13新闻,http://liushizupu.site:35455/gaoma/cctv13.m3u8
CCTV-14少儿,http://liushizupu.site:35455/gaoma/cctv14.m3u8
CCTV-15音乐,http://liushizupu.site:35455/gaoma/cctv15.m3u8
CCTV-16奥匹,http://liushizupu.site:35455/gaoma/cctv16.m3u8
CCTV-17农村,http://liushizupu.site:35455/gaoma/cctv17.m3u8
CCTV4K超高清,http://liushizupu.site:35455/gaoma/cctv4k.m3u8
CCTV8K超高清,http://liushizupu.site:35455/gaoma/cctv8k_36m.m3u8
CCTV-1综合,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=15654890039634427536&amp
CCTV-1综合,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=1587240374177179388&amp
CCTV-2财经,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=18203640774999492907&amp
CCTV-2财经,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=2038291520205345979&amp
CCTV-2财经,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=4547519954471704013&amp
CCTV-3综艺,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-3hd/2500.m3u8?innersid=9476609640263440821&amp
CCTV-5体育,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-5hd/2500.m3u8?innersid=4790815411650771981&amp
CCTV-6电影,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-6hd/2500.m3u8?innersid=14916759019483157794&amp
CCTV-7军事,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-7hd/2500.m3u8?innersid=12706415551557919057&amp
CCTV-8电视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-8hd/2500.m3u8?innersid=15852265263958669967&amp
CCTV-9纪录,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-9hd/2500.m3u8?innersid=17686352686599982856&amp
CCTV-10科教,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=9053765528789506188&amp
CCTV-12社法,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=8190402369178717730&amp
CCTV-14少儿,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=10749977474028640862&amp
CCTV-17农村,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-17hd/2500.m3u8?innersid=2038717225283627700&amp
北京卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/bjws-hd/1.m3u8?innersid=18360129623627541611&amp
福建卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/fjws-hd/2500.m3u8?innersid=10943554111088989087&amp
广东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/gdws-hd/2500.m3u8?innersid=2310031483208039305&amp
